Date,Open,High,Low,Close,Adj Close,Volume
26-09-2003,60.599998,60.610001,60,60.299999,46.047321,111800
29-09-2003,59.799999,59.990002,59.380001,59.900002,45.741863,172900
30-09-2003,59.349998,59.700001,58.799999,59.549999,45.474583,186500
01-10-2003,60.099998,62.84,60.099998,62.650002,47.841869,300200
02-10-2003,60.849998,61.369999,60.5,60.970001,46.55896,348000
03-10-2003,61.970001,62.700001,61.799999,62.25,47.536415,175100
06-10-2003,62.849998,63.189999,62.650002,63.049999,48.147308,69900
07-10-2003,63.299999,63.400002,62.77,63,48.109154,179500
08-10-2003,61.150002,61.75,61.150002,61.549999,47.001858,391200
09-10-2003,61.799999,63.32,61.799999,62.630001,47.826591,221400
10-10-2003,62.82,62.889999,61.900002,62.700001,47.880039,154900
13-10-2003,62.900002,63.23,62.66,63,48.109154,68500
14-10-2003,63.099998,63.290001,62.669998,63.220001,48.277142,70700
15-10-2003,62.349998,62.959999,62,62.009998,47.353134,152000
16-10-2003,63.099998,64.199997,63,63.950001,48.834591,258700
17-10-2003,62.049999,62.66,61.959999,62.189999,47.490593,153000
20-10-2003,62.200001,62.849998,62.200001,62.799999,47.956406,89000
21-10-2003,62.299999,62.77,62.119999,62.419998,47.666229,105000
22-10-2003,60.900002,61.080002,60.32,60.400002,46.123684,243000
23-10-2003,59.25,60.09,59.169998,59.599998,45.512772,144000
24-10-2003,59.099998,59.700001,58.880001,59.450001,45.398228,99900
27-10-2003,59.529999,60.16,59.450001,59.98,45.802948,107600
28-10-2003,59.099998,60.450001,59.099998,60.400002,46.123684,80800
29-10-2003,60.25,61.080002,60.25,60.509998,46.207676,213600
30-10-2003,60,60.200001,59.720001,59.900002,45.741863,164200
31-10-2003,59.09,59.09,57.75,58.02,44.306229,259600
03-11-2003,58.900002,58.900002,58.330002,58.610001,44.756771,265900
04-11-2003,61.900002,62.299999,61.490002,61.779999,47.177498,293700
05-11-2003,63,63.810001,63,63.400002,48.414589,351100
06-11-2003,62.299999,62.599998,62.119999,62.400002,47.65097,213300
07-11-2003,63.139999,64.18,63.139999,63.349998,48.376419,179800
10-11-2003,64.099998,64.099998,63.34,63.349998,48.376419,177900
11-11-2003,62.25,62.299999,61.259998,61.5,46.963688,224000
12-11-2003,62.25,63.099998,61.900002,63.02,48.124405,202000
13-11-2003,62,62.23,61.900002,62.049999,47.38369,165800
14-11-2003,62.25,63.25,62.150002,62.200001,47.498226,204300
17-11-2003,61,61.18,60.150002,60.900002,46.505508,275500
18-11-2003,60.400002,60.599998,59.5,59.5,45.436409,203300
19-11-2003,59.200001,59.720001,59.16,59.619999,45.528034,113300
20-11-2003,59.049999,59.700001,58.75,58.77,44.878963,132700
21-11-2003,58.860001,59.369999,58.860001,59.02,45.069859,64300
24-11-2003,60.02,60.700001,59.599998,60.240002,46.001499,143500
25-11-2003,57.900002,58.950001,57.799999,58.549999,44.710953,337600
